title,author,description,isbn,image,available
Essentials of French,James Pyper Bird,No description available.,ISBN-9030157032,http://books.google.com/books/content?id=Rgy8nL6ouzEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Artificial Intelligence,Christian Farsley,"In this comprehensive guide, you'll learn the basics about: - The applications we have in AI.- How AI can be a threat and an opportunity.- The historical context of AI.- The effects AI can have on the future.- How AI is applied in marketing.- What big data and neural networks are.- Generation Z and .",1701887851,http://books.google.com/books/content?id=uR7PywEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Sources for the History of London 1939-45,Heather J. Creaton,No description available.,ISBN-8085408649,http://books.google.com/books/content?id=piDvAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
AI for Everyone: benefitting from and building trust in the technology,"Jiro Kokuryo, Toby Walsh, Catharina Maracke","If governed adequately, AI (artificial intelligence) has the potential to benefit humankind enormously. However, if mismanaged, it also has the potential to harm humanity catastrophically. The title of this book reflects the belief that access to the benefits of AI, awareness about the nature of the.",9780244557300,http://books.google.com/books/content?id=wqTNDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Joint Air Operations,"James A. Winnefeld, Dana J. Johnson","""With the current downsizing of the U.S. military putting a premium on joint response to threats, this landmark study of joint U.S. air operations over the past fifty years provides timely information on a topic of vital concern. The most comprehensive single-volume discussion available, it examines.",ISBN-3380733736,http://books.google.com/books/content?id=hHPbAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
AI for Everyone,Gideon Rayburn,AI for Everyone: Understanding and Harnessing Artificial Intelligence by Gideon Rayburn is a comprehensive guide designed to demystify the world of artificial intelligence (AI) for the general reader. As AI continues to revolutionize industries ranging from business and government to healthcare and .,ISBN-2892203976,http://books.google.com/books/content?id=9PEiEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
A Brief Guide to Artificial Intelligence,James V Stone,"Artificial intelligence (AI) has now mastered tasks which could, until recently, be performed only by humans. These tasks include cancer diagnosis, drug design, object recognition, speech recognition, chess, backgammon and Go, which AI systems perform at super-human levels of performance. This richl.",1916279112,http://books.google.com/books/content?id=z1p9zQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
PROMPTING THE FUTURE - A Comprehensive Guide to Artificial Intelligence,Dominik Schlorff,"""Prompting the Future: A Comprehensive Guide to Artificial Intelligence "" - the ultimate resource for anyone looking to understand the world of AI. This book provides a thorough overview of the field of artificial intelligence (AI) and its various applications. From the fundamentals of AI, including.",9798390225769,http://books.google.com/books/content?id=jNXwzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
A People's Guide to AI,"Mimi Onuoha, Diana Nucera","""Systems that use artificial intelligence are quietly becoming present in more and more parts of our lives. But what does this technology really mean for people, both right now and in the future? Written in 2018 by Mimi Onuoha and Mother Cyborg (Diana Nucera), A People's Guide to AI is a comprehensi.",ISBN-1454316765,,False
California. Court of Appeal (2nd Appellate District). Records and Briefs,California (State).,Received document entitled: EXHIBITS IN SUPPORT OF PETITION FOR WRIT.,ISBN-6540865966,http://books.google.com/books/content?id=IuZGgYwOtioC&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
AI Guide for Thinking Humans 2025,DEAN. JORDAN,"The world is changing-are you ready to think alongside AI? Artificial Intelligence is no longer a concept of the future; it's here, shaping the way we live, work, and think. From self-driving cars and smart assistants to AI-powered creativity and decision-making, technology is advancing at an unprec.",9798310285194,http://books.google.com/books/content?id=DTYw0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
The World Book Encyclopedia,Unknown Author,No description available.,ISBN-4232982097,http://books.google.com/books/content?id=5DCIRj18_ooC&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Educational Research Bulletins,Unknown Author,No description available.,ISBN-6618382396,http://books.google.com/books/content?id=hWzU_Pf9iI0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Forthcoming Books,Rose Arny,No description available.,ISBN-6685668617,http://books.google.com/books/content?id=WZFYAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
The School World,Unknown Author,No description available.,ISBN-9110700388,http://books.google.com/books/content?id=gZSgAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
American Steam and Hot-water Heating Practice,"Engineering Record, Building Record and Sanitary Engineer",No description available.,ISBN-4086807314,http://books.google.com/books/content?id=_NtEAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Modern Machinery,Unknown Author,No description available.,ISBN-3289575742,http://books.google.com/books/content?id=ed5AAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Ceramic Industry,Unknown Author,No description available.,ISBN-4207799312,http://books.google.com/books/content?id=1Zvj9rM4pS8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Artificial Intelligence for Humans,Jeff Heaton,No description available.,ISBN-5048910464,,True
Children's Catalog,H.W. Wilson Company,The 1st ed. includes an index to v. 28-36 of St. Nicholas.,ISBN-9655514218,http://books.google.com/books/content?id=qaLNAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Documents of the Assembly of the State of New York,New York (State). Legislature. Assembly,No description available.,ISBN-2496708407,http://books.google.com/books/content?id=VZQ7AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Anyone Can Learn AI: Demystifying Artificial Intelligence,Dr.K.Sridhar Patnaik,"Artificial Intelligence. For many, the phrase conjures images of gleaming robots, complex algorithms, and a futuristic world seemingly lightyears away. It feels like an exclusive domain, reserved for those with years of advanced mathematics and computer science training. A world that, frankly, can f.",9789364264310,http://books.google.com/books/content?id=s-VjEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
How AI Thinks,Nigel Toon,"'Nigel Toon is a visionary leader in the field of artificial intelligence... a must-read for anyone who wants to understand the past, present and future of artificial intelligence' Marc Tremblay, Distinguished Engineer, Microsoft Those who understand how AI thinks are about to win big. We are used t.",191170947X,http://books.google.com/books/content?id=wIvuzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Report of the Librarian of Congress,Library of Congress,Includes index and appendices.,ISBN-4684288081,http://books.google.com/books/content?id=6Or41FT2NeIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Artificial Intelligence,Unknown Author,No description available.,ISBN-5414038335,,True
Silicon Minds,Thien-Nam Dinh,No description available.,1791802524,http://books.google.com/books/content?id=5ZgHwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
1955 Book of ASTM Standards Including Tentatives (a Triennial Publication).,American Society for Testing and Materials,No description available.,ISBN-5774976513,http://books.google.com/books/content?id=Oqxmo3qVwZ4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
The Transactions of the Honourable Society of Cymmrodorion,"Honourable Society of Cymmrodorion (London, England)",No description available.,ISBN-1416653118,http://books.google.com/books/content?id=K2k_AQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
The American Artisan and Hardware Record,Unknown Author,No description available.,ISBN-5912224351,http://books.google.com/books/content?id=BppUAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
American Agriculturist,Unknown Author,No description available.,ISBN-5046745358,http://books.google.com/books/content?id=p3-s1ShNop8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Gas Heat,Unknown Author,No description available.,ISBN-4378137422,http://books.google.com/books/content?id=E6J6EWizHswC&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
